ven_NAME,ven_COUNTRY,ven_DESCRIPT
Inventec,Taiwan,Крупный контрактный производитель электроники (ODM).
KFA2,Hong Kong,"Европейский бренд компании GALAX, производитель видеокарт NVIDIA."
Kingston Technology,USA,Один из крупнейших в мире производителей модулей памяти и SSD.
Leadtek,Taiwan,Производитель видеокарт NVIDIA, в основном для профессионального сегмента.
Lenovo,China,Один из крупнейших в мире производителей персональных компьютеров.
Lian Li,Taiwan,Премиальный производитель алюминиевых корпусов для ПК.
Lite-On,Taiwan,Производитель оптических приводов и блоков питания.
MSI,Taiwan,Один из ведущих мировых производителей материнских плат, видеокарт и ноутбуков.
Maplin,UK,Розничная сеть по продаже электронных компонентов.
Micron Technology,USA,Один из крупнейших в мире производителей чипов памяти (DRAM и NAND).
Mostek,USA,Исторический производитель полупроводников, поглощен STMicroelectronics.
Mushkin,USA,Производитель высокопроизводительной оперативной памяти и SSD.
NVIDIA,USA,Ведущий разработчик графических процессоров (GPU) и чипов для ИИ.
Nanya Technology,Taiwan,Производитель микросхем памяти DRAM.
Netlist,USA,Производитель модулей памяти высокой плотности для серверов.
Nidec,Japan,Крупнейший в мире производитель электродвигателей, в том числе для вентиляторов.
Noctua,Austria,Премиальный производитель высокоэффективных и тихих систем охлаждения.
NZXT,USA,Производитель корпусов, систем охлаждения и аксессуаров для ПК.
OCZ Technology,USA,"Бывший производитель SSD и памяти, активы куплены Toshiba."
PC Power and Cooling,USA,"Производитель высококачественных блоков питания, принадлежит Antec."
PNY,USA,Производитель видеокарт, памяти и SSD.
Palit,Taiwan,Крупнейший в мире производитель видеокарт по объему.
Pegatron,Taiwan,"ODM-производитель электроники, отделившийся от Asus."
PowerColor,Taiwan,Производитель видеокарт исключительно на базе GPU от AMD.
Rambus,USA,Компания, разрабатывающая и лицензирующая технологии в области памяти.
Ramtron International,USA,"Разработчик FRAM, поглощен Cypress Semiconductor."
Razer Inc.,USA/Singapore,Производитель игровой периферии, ноутбуков и аксессуаров.
Renesas Technology,Japan,Крупный производитель микроконтроллеров и полупроводников.
Rendition,USA,Исторический производитель 3D-ускорителей в 90-х.
SK Hynix,South Korea,Второй по величине в мире производитель чипов памяти.
Samsung Semiconductor,South Korea,Подразделение Samsung, крупнейший производитель чипов памяти.
Sandisk,USA,"Производитель флеш-памяти, поглощен Western Digital."
Sapphire Technology,Hong Kong,Крупнейший производитель видеокарт исключительно на базе GPU от AMD.
Sea Sonic,Taiwan,Высокоуважаемый производитель блоков питания для ПК.
Seasonic,Taiwan,Высокоуважаемый производитель блоков питания для ПК.
Seventeam,Taiwan,Производитель блоков питания.
Shuttle Inc.,Taiwan,Производитель мини-ПК (barebone) и материнских плат малого форм-фактора.
Silicon Power,Taiwan,Производитель карт памяти, USB-накопителей, SSD и модулей DRAM.
Simmtronics,India,Производитель модулей памяти и другой потребительской электроники.
StarTech.com,Canada,Производитель широкого спектра IT- и A/V-кабелей и адаптеров.
Super Flower,Taiwan,Производитель блоков питания, часто выступающий как OEM для других брендов.
Supermicro,USA,Производитель серверов, материнских плат и корпусов для серверов.
Tyan,Taiwan,"Производитель серверных материнских плат, принадлежит MiTAC."
Thermalright,Taiwan,Производитель высокопроизводительных систем воздушного охлаждения.
Thermaltake,Taiwan,Производитель корпусов, блоков питания, систем охлаждения и периферии.
Toshiba,Japan,Крупная многонациональная корпорация, производящая в том числе и электронику.
Transcend,Taiwan,Производитель модулей памяти, карт памяти, SSD и промышленных накопителей.
Trust,Netherlands,Производитель доступной компьютерной периферии.
VIA Technologies,Taiwan,Разработчик чипсетов, процессоров и другой электроники.
Vigor Gaming,USA,Бывший производитель игровых ПК, прекратил деятельность.
Virtium,USA,Производитель промышленных встраиваемых SSD и модулей памяти.
Winbond,Taiwan,Производитель специализированных микросхем памяти (DRAM, Flash).
XFX,USA,"Производитель видеокарт (ранее NVIDIA, теперь AMD) и блоков питания."
Xilence,Germany/Taiwan,Производитель блоков питания, кулеров и корпусов.
Yeston,China,Производитель видеокарт и материнских плат, известный своим уникальным дизайном.
Zotac,Hong Kong,Производитель видеокарт NVIDIA, мини-ПК и SSD.
